Prior ID,Heterogeneity statistic,Data Type,Effect Measure,Distribution form,Type of Intervention,Nature of Outcome,Medical area,Average Sample Size,Mean,SD,Median,2.5% Quantile,97.5% Quantile,Notes,Reference
1,Tau-squared,Binary,Log odds ratio,Log normal,General,General,Any,Any,-2.56,1.74,0.08,0.003,2.34,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. ","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
2,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,All-cause mortality,Any,Any,-4.06,1.45,0.017,0.001,0.3,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. ","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
3,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Semi-objective,Any,Any,-3.02,1.85,0.049,0.001,1.83,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. Subjective/semi-objective outcomes and non-pharmacoloical interventions defined in Table 2 of the paper.","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
4,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Subjective,Any,Any,-2.13,1.58,0.12,0.005,2.63,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. Subjective/semi-objective outcomes and non-pharmacoloical interventions defined in Table 2 of the paper.","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
5,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,All-cause mortality,Any,Any,-4.27,1.48,0.014,0.0008,0.25,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. ","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
6,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Semi-objective,Any,Any,-3.23,1.88,0.04,0.001,1.58,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. Subjective/semi-objective outcomes and non-pharmacoloical interventions defined in Table 2 of the paper.","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
7,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Subjective,Any,Any,-2.34,1.62,0.096,0.004,2.31,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. Subjective/semi-objective outcomes and non-pharmacoloical interventions defined in Table 2 of the paper.","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
8,Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs any,All-cause mortality,Any,Any,-3.93,1.51,0.02,0.001,0.38,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. Subjective/semi-objective outcomes and non-pharmacoloical interventions defined in Table 2 of the paper.","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
9,Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs any,Semi-objective,Any,Any,-2.89,1.91,0.056,0.001,2.35,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. Subjective/semi-objective outcomes and non-pharmacoloical interventions defined in Table 2 of the paper.","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
10,Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs any,Subjective,Any,Any,-2.01,1.64,0.13,0.005,3.33,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. Median/range presented on untransformed scale. Subjective/semi-objective outcomes and non-pharmacoloical interventions defined in Table 2 of the paper.","Turner, Rebecca M., Jonathan Davey, Mike J. Clarke, Simon G. Thompson, and Julian PT Higgins. ""Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews."" International Journal of Epidemiology 41, no. 3 (2012): 818-827."
11,Tau-squared,Binary,Log odds ratio,Log normal,General,General,Any,Any,-2.56,1.74,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
12,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,All-cause mortality,Any,Any,-3.95,1.34,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
13,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Obstetric,Any,Any,-3.25,1.74,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
14,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Cause-specific mortality/major morbidity event/composite,Any,Any,-3.71,1.74,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
15,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Resource use/hospital stay/process,Any,Any,-2.34,1.74,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
16,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Surgical/device related success/failure,Any,Any,-2.14,1.74,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
17,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Withdrawals/drop outs,Any,Any,-2.99,1.74,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
18,Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Internal/external structure related outcomes,Any,Any,-2.71,1.74,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
